title,pubDate,guid,link,description,category,sentiment_label,sentiment_score
How world leaders reacted to Trump’s White House return,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/world-leaders-express-hope-fear-as-donald-trump-returns-to-white-house,https://www.aljazeera.com/news/2025/1/21/world-leaders-express-hope-fear-as-donald-trump-returns-to-white-house,"Political leaders across the world urge good relations with the new president, with some expressing concern.",news,positive,0.9986258745193481
Full speech: Donald Trump’s second inauguration address,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/full-speech-donald-trumps-second-inauguration-address,https://www.aljazeera.com/news/2025/1/21/full-speech-donald-trumps-second-inauguration-address,"Beginning his second term, Trump takes oath as 47th president, pledging to ‘restore America promise’.",news,neutral,0.9998086094856262
"Can Trump really take over the Panama Canal, rename the Gulf of Mexico?",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/can-trump-really-take-over-the-panama-canal-rename-the-gulf-of-mexico,https://www.aljazeera.com/news/2025/1/21/can-trump-really-take-over-the-panama-canal-rename-the-gulf-of-mexico,Trump repeated his desire to do so in his inaugural address on Monday. But it would not be easy.,news,neutral,0.9993425011634827
"At least nine killed, dozens wounded in Israeli attack on Jenin",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/israeli-army-launches-deadly-attack-on-jenin-refugee-camp-in-west-bank,https://www.aljazeera.com/news/2025/1/21/israeli-army-launches-deadly-attack-on-jenin-refugee-camp-in-west-bank,"Nine killed, more than 35 wounded says Palestinian Ministry of Health, as violence rises in occupied West Bank.",news,neutral,0.7828492522239685
"What is an executive order, and what orders did Trump sign on day 1?",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/what-is-an-executive-order-and-what-orders-did-trump-sign-on-day-1,https://www.aljazeera.com/news/2025/1/21/what-is-an-executive-order-and-what-orders-did-trump-sign-on-day-1,We take a look at some of the most significant executive actions signed by President Donald Trump.,news,neutral,0.9998261332511902
S Korea’s President Yoon defends martial law call at impeachment trial,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/korea-president-yoon-martial-law,https://www.aljazeera.com/news/2025/1/21/korea-president-yoon-martial-law,Yoon says special forces soldiers sent to National Assembly on December 3 were not there to disable the legislature.,news,neutral,0.9997944235801697
Trump lifts US sanctions on Israeli settlers in the occupied West Bank,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/trump-lifts-us-sanctions-on-israeli-settlers-in-the-occupied-west-bank,https://www.aljazeera.com/news/2025/1/21/trump-lifts-us-sanctions-on-israeli-settlers-in-the-occupied-west-bank,Israeli officials welcome new president’s decision to remove sanctions imposed by the Biden administration.,news,neutral,0.9714725613594055
Landslides and flash floods kill at least 16 on Indonesia’s Java Island,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/landslides-and-flash-floods-kill-at-least-16-in-indonesia,https://www.aljazeera.com/news/2025/1/21/landslides-and-flash-floods-kill-at-least-16-in-indonesia,Authorities warn that heavy rain is expected to continue for several days as they search for missing people.,news,neutral,0.6749181151390076
Is Hezbollah weakened as Lebanon shifts towards new governance?,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/is-hezbollah-weakened-as-lebanon-shifts-towards-new-governance,https://www.aljazeera.com/news/2025/1/21/is-hezbollah-weakened-as-lebanon-shifts-towards-new-governance,Lebanon has a new president and prime minister – but can they challenge groups like Hezbollah for dominance?,news,neutral,0.9998626708984375
"Biden hands preemptive pardons to family, allies citing Trump retaliation",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/biden-hands-preemptive-pardons-to-family-allies-citing-trump-retaliation,https://www.aljazeera.com/news/2025/1/21/biden-hands-preemptive-pardons-to-family-allies-citing-trump-retaliation,Republican lawmaker Liz Cheney and immunologist Anthony Fauci among those offered protection.,news,neutral,0.9993693232536316
Elon Musk believes he got Trump elected. Now he’s coming for Europe,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/elon-musk-believes-he-got-trump-elected-now-hes-coming-for-europe,https://www.aljazeera.com/news/2025/1/21/elon-musk-believes-he-got-trump-elected-now-hes-coming-for-europe,Experts say the EU can wield its digital services rules against election interference – but even that won’t be easy.,news,neutral,0.9919441938400269
"Israeli settlers torch vehicles, properties in occupied West Bank attacks",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/israeli-settlers-attack-west-bank-villages-under-armys-protection,https://www.aljazeera.com/news/2025/1/21/israeli-settlers-attack-west-bank-villages-under-armys-protection,"Israeli settlers attack Palestinian villages, set vehicles on fire and injure several residents in the West Bank.",news,neutral,0.8848471641540527
Hotel fire at Turkiye ski resort kills at least 66,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/hotel-fire-at-turkiye-ski-resort-kills-at-least-10,https://www.aljazeera.com/news/2025/1/21/hotel-fire-at-turkiye-ski-resort-kills-at-least-10,"Four people detained after deadly fire at a hotel in Kartalkaya, Bolu.",news,neutral,0.99919193983078
Gauff stunned by ’emotional’ Badosa in Australian Open quarterfinals,21 Jan 2025,https://www.aljazeera.com/sports/2025/1/21/gauff-stunned-by-badosa-in-australian-open-quarters-zverev-beats-paul,https://www.aljazeera.com/sports/2025/1/21/gauff-stunned-by-badosa-in-australian-open-quarters-zverev-beats-paul,"Paula Badosa, who almost quit tennis in 2024, has reached her first Grand Slam semifinal with a straight-sets win.",sports,positive,0.9866319298744202
Trump critics say inauguration optics show oligarchy in action,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/trump-critics-say-inauguration-optics-show-oligarchy-in-action,https://www.aljazeera.com/news/2025/1/21/trump-critics-say-inauguration-optics-show-oligarchy-in-action,"In a break with tradition, Silicon Valley CEOs feature prominently at presidential inauguration.",news,neutral,0.9998461008071899
Taliban announces release of US citizens in prisoner swap deal,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/taliban-announces-release-of-two-us-citizens-in-prisoner-swap-deal,https://www.aljazeera.com/news/2025/1/21/taliban-announces-release-of-two-us-citizens-in-prisoner-swap-deal,Taliban government in Afghanistan says US nationals released in exchange for Afghan serving life sentence in California.,news,neutral,0.9998074173927307
South African humanitarian in pro-Israeli crosshairs over Palestine support,21 Jan 2025,https://www.aljazeera.com/features/2025/1/21/south-africa-humanitarian-in-israel-crosshairs-over-palestine-support,https://www.aljazeera.com/features/2025/1/21/south-africa-humanitarian-in-israel-crosshairs-over-palestine-support,"Imtiaz Sooliman, driving force behind prominent African aid agency Gift of the Givers, says his work is not political.",features,neutral,0.9998607635498047
Fact check: Was Trump truthful in his inauguration day speeches?,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/fact-check-was-trump-truthful-in-his-inauguration-day-speeches,https://www.aljazeera.com/news/2025/1/21/fact-check-was-trump-truthful-in-his-inauguration-day-speeches,"Trump targeted the Panama Canal and undocumented migrants, repeating old claims and making new ones. We fact check them.",news,neutral,0.9998540878295898
Trump grants clemency to all charged over January 6 US Capitol attack,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/trump-grants-clemency-to-all-charged-over-january-six-us-capitol-attack,https://www.aljazeera.com/news/2025/1/21/trump-grants-clemency-to-all-charged-over-january-six-us-capitol-attack,US president sweeps away years-long effort to punish those responsible for trying to overturn the 2020 election.,news,neutral,0.9602924585342407
"Russia-Ukraine war: List of key events – day 1,062",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/russia-ukraine-war-list-of-key-events-day-one-thousand-sixty-two,https://www.aljazeera.com/news/2025/1/21/russia-ukraine-war-list-of-key-events-day-one-thousand-sixty-two,"Here are the key developments on the 1,062nd day of Russia’s full-scale invasion of Ukraine.",news,neutral,0.9998277425765991
Musk accused of giving Nazi salute during Trump inauguration celebrations,21 Jan 2025,https://www.aljazeera.com/economy/2025/1/21/musk-accused-of-giving-nazi-salute-during-trump-inauguration-celebrations,https://www.aljazeera.com/economy/2025/1/21/musk-accused-of-giving-nazi-salute-during-trump-inauguration-celebrations,Tech billionaire says his critics need ‘better dirty tricks’ after coming under fire over hand gestures.,economy,neutral,0.9220981597900391
Supporters throng US capital as Donald Trump sworn in for second term,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/supporters-swarm-us-capital-as-donald-trump-sworn-in-for-second-term,https://www.aljazeera.com/news/2025/1/20/supporters-swarm-us-capital-as-donald-trump-sworn-in-for-second-term,"Trump assumes office at an indoor inauguration ceremony, while supporters gather at the Capital One Arena to celebrate.",news,neutral,0.9998514652252197
Trump’s new meme coin and crypto token soar on his first day in office,20 Jan 2025,https://www.aljazeera.com/economy/2025/1/20/trumps-new-meme-coin-and-crypto-token-soar-on-his-first-day-in-office,https://www.aljazeera.com/economy/2025/1/20/trumps-new-meme-coin-and-crypto-token-soar-on-his-first-day-in-office,Trump’s promise to usher in a ‘golden age’ for crypto is a sharp contrast from his predecessor.,economy,positive,0.9845935702323914
"No tariffs on day one, but Trump promises to ‘drill, baby, drill’",20 Jan 2025,https://www.aljazeera.com/economy/2025/1/20/no-tariffs-on-day-1-but-trump-promises-to-drill-baby-drill,https://www.aljazeera.com/economy/2025/1/20/no-tariffs-on-day-1-but-trump-promises-to-drill-baby-drill,"Long-debated tariff threats do not materialise on first day of his presidency, but that doesn’t mean they’ve gone away.",economy,neutral,0.9990444779396057
‘Joy filled with loss and grief’: Gaza looks ahead with hope and fear,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/palestinians-in-gaza-hopes-and-fears-after-israel-hamas-ceasefire,https://www.aljazeera.com/news/2025/1/20/palestinians-in-gaza-hopes-and-fears-after-israel-hamas-ceasefire,"Displaced Palestinians in Deir el-Balah share mixed emotions, losses, and their plans for the future after the truce.",news,negative,0.9565527439117432
Trump’s inauguration: Key takeaways as Trump sworn in as 47th US president,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/key-takeaways-as-donald-trump-is-sworn-in-as-47th-us-president,https://www.aljazeera.com/news/2025/1/20/key-takeaways-as-donald-trump-is-sworn-in-as-47th-us-president,Republican leader took his oath of office under the US Capitol Rotunda as frigid weather forced the ceremony indoors.,news,neutral,0.9963106513023376
Death toll in Gaza soars after truce as dozens of bodies found in rubble,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/rescuers-find-dozens-of-bodies-in-gaza-rubble-amid-israel-hamas-ceasefire,https://www.aljazeera.com/news/2025/1/20/rescuers-find-dozens-of-bodies-in-gaza-rubble-amid-israel-hamas-ceasefire,"Palestinian officials estimate 10,000 bodies are under the debris covering Gaza after the devastating 15-month war.",news,neutral,0.9996544122695923
Yemen’s Houthis to only target Israel-linked ships following Gaza ceasefire,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/yemens-houthis-to-only-target-israel-linked-ships-following-gaza-ceasefire,https://www.aljazeera.com/news/2025/1/20/yemens-houthis-to-only-target-israel-linked-ships-following-gaza-ceasefire,Group says it will stop attacking Israeli-linked ships when all phases of the Gaza ceasefire deal are completed.,news,neutral,0.9995064735412598
Who are the Palestinian prisoners released by Israel?,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/who-are-the-palestinian-prisoners-released-by-israel,https://www.aljazeera.com/news/2025/1/20/who-are-the-palestinian-prisoners-released-by-israel,"Palestinians are celebrating the release of 90 prisoners, including 69 women, most of whom were held without charges.",news,neutral,0.9997888207435608
From schedule to squads: All to know about the India vs England T20 series,20 Jan 2025,https://www.aljazeera.com/sports/2025/1/20/india-vs-england-t20-series-match-schedule-squads-head-to-head-news,https://www.aljazeera.com/sports/2025/1/20/india-vs-england-t20-series-match-schedule-squads-head-to-head-news,World champions India look to experiment and rebuild for the 2026 World Cup as they host England in a five-match series.,sports,neutral,0.9996646642684937
Did Trump’s promise bring back TikTok in the US?,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/did-trumps-promise-bring-back-tiktok-in-the-us,https://www.aljazeera.com/news/2025/1/20/did-trumps-promise-bring-back-tiktok-in-the-us,A pending executive order by Donald Trump is set to fully reinstate the app after a nationwide ban started on Saturday.,news,neutral,0.9998444318771362
Gaza doctors relieved but fear for the future after Israel-Hamas ceasefire,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/gaza-doctors-relieved-but-fear-for-the-future-after-israel-hamas-ceasefire,https://www.aljazeera.com/news/2025/1/20/gaza-doctors-relieved-but-fear-for-the-future-after-israel-hamas-ceasefire,The WHO says only half of Gaza’s 36 hospitals remain partially operational after 15 months of Israeli attacks.,news,neutral,0.9994383454322815
Sinner fights dizziness to set up de Minaur quarterfinal at Australian Open,20 Jan 2025,https://www.aljazeera.com/sports/2025/1/20/sinner-fights-dizziness-to-set-up-de-minaur-quarterfinal-at-australian-open,https://www.aljazeera.com/sports/2025/1/20/sinner-fights-dizziness-to-set-up-de-minaur-quarterfinal-at-australian-open,"Swiatek, Svitolina, Keys, Sonego and Shelton also make it through to the last-eight stage on a hot day in Melbourne.",sports,neutral,0.9777968525886536
Will US President Trump end the Russia-Ukraine war in 100 days?,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/will-us-president-elect-trump-end-the-ukraine-war-in-100-days,https://www.aljazeera.com/news/2025/1/20/will-us-president-elect-trump-end-the-ukraine-war-in-100-days,"Donald Trump’s team aims to end the conflict by April, but the Republican leader’s terms to Moscow are unclear.",news,neutral,0.9998356103897095
Lewis Hamilton begins new F1 dream at Ferrari,20 Jan 2025,https://www.aljazeera.com/sports/2025/1/20/lewis-hamilton-arrives-at-ferrari-headquarters-ahead-of-new-f1-season,https://www.aljazeera.com/sports/2025/1/20/lewis-hamilton-arrives-at-ferrari-headquarters-ahead-of-new-f1-season,The seven-time world champion opens up a new chapter in his career with a photo shoot at Ferrari HQ in Italy.,sports,neutral,0.9820521473884583
Trump’s inauguration: Schedule of events and who will attend,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/trumps-inauguration-schedule-of-events-and-who-will-attend,https://www.aljazeera.com/news/2025/1/20/trumps-inauguration-schedule-of-events-and-who-will-attend,A look at what will happen and who will be there for Donald Trump’s historic return as US president.,news,neutral,0.999858021736145
UK teenager pleads guilty to killing three girls in Southport knife attack,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/uk-teenager-pleads-guilty-to-killing-young-girls-in-knife-attack,https://www.aljazeera.com/news/2025/1/20/uk-teenager-pleads-guilty-to-killing-young-girls-in-knife-attack,The crime had horrified the nation and was followed by days of nationwide rioting against migrants in August.,news,negative,0.8789129257202148
"India police volunteer gets life sentence for rape, murder of junior doctor",20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/india-police-volunteer-gets-life-sentence-for-rape-murder-of-junior-doctor,https://www.aljazeera.com/news/2025/1/20/india-police-volunteer-gets-life-sentence-for-rape-murder-of-junior-doctor,Killing of the 31-year-old medic at state hospital in Kolkata city highlighted chronic issue of violence against women.,news,neutral,0.9750707745552063
How does Trump’s age at inauguration compare with other presidents?,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/how-does-trumps-age-at-inauguration-compare-to-other-presidents,https://www.aljazeera.com/news/2025/1/20/how-does-trumps-age-at-inauguration-compare-to-other-presidents,"At 78 years and seven months, Donald Trump will become the oldest president in US history on inauguration day.",news,neutral,0.9998311996459961
China executes two men for committing deadly ‘revenge on society crimes’,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/china-executes-two-men-for-committing-deadly-revenge-on-society-crimes,https://www.aljazeera.com/news/2025/1/20/china-executes-two-men-for-committing-deadly-revenge-on-society-crimes,"Fan Weiqu had rammed his car into a crowd, killing 35, while Xu Jiajin, 21, killed eight people in a stabbing attack.",news,neutral,0.9980148077011108
"Oxfam says billionaires’ wealth soared in 2024, with 4 ‘minted’ every week",20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/oxfam-says-billionaires-wealth-soared-in-2024-with-4-minted-every-week,https://www.aljazeera.com/news/2025/1/20/oxfam-says-billionaires-wealth-soared-in-2024-with-4-minted-every-week,"Group’s report comes as the world’s political and financial elite prepare for an annual gathering in Davos, Switzerland.",news,neutral,0.9998268485069275
Trump promises end of ‘four years of American decline’ at MAGA rally,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/trump-promises-end-of-four-years-of-american-decline-at-maga-rally,https://www.aljazeera.com/news/2025/1/20/trump-promises-end-of-four-years-of-american-decline-at-maga-rally,"Trump promises crackdown on US-Mexico border, more oil drilling, reining in workforce and removing diversity programmes.",news,neutral,0.9912201762199402
How do Trump’s executive orders compare to all other US presidents?,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/how-do-donald-trumps-executive-orders-compare-to-all-other-presidents,https://www.aljazeera.com/news/2025/1/20/how-do-donald-trumps-executive-orders-compare-to-all-other-presidents,Recent presidents of the United States have issued fewer executive orders.,news,neutral,0.6140345335006714
"Australian TV host apologises to Djokovic over ‘offensive, racist’ jibe",20 Jan 2025,https://www.aljazeera.com/sports/2025/1/20/australian-tv-host-apologises-to-djokovic-over-offensive-racist-jibe,https://www.aljazeera.com/sports/2025/1/20/australian-tv-host-apologises-to-djokovic-over-offensive-racist-jibe,Djokovic refused an on-court interview following the ‘insulting and offensive’ comments towards him and Serbian fans.,sports,negative,0.8265143036842346
Palestinians hoping to return to Gaza’s Rafah find city in ruins,20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/palestinians-hoping-to-return-to-gazas-rafah-find-city-in-ruins,https://www.aljazeera.com/news/2025/1/20/palestinians-hoping-to-return-to-gazas-rafah-find-city-in-ruins,"As an Israel-Hamas ceasefire begins, rubble is all that’s left in large swaths of southern Gaza’s Rafah.",news,neutral,0.9989493489265442
"Russia-Ukraine war: List of key events – day 1,061",20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/russia-ukraine-war-list-of-key-events-day-3,https://www.aljazeera.com/news/2025/1/20/russia-ukraine-war-list-of-key-events-day-3,"Here are the key developments on the 1,061st day of Russia’s full-scale invasion of Ukraine.",news,neutral,0.9998301267623901
"Tears, hugs greet 90 Palestinian women, children freed from Israeli prisons",20 Jan 2025,https://www.aljazeera.com/news/2025/1/20/celebrations-as-90-detained-palestinians-freed-from-israeli-prisons,https://www.aljazeera.com/news/2025/1/20/celebrations-as-90-detained-palestinians-freed-from-israeli-prisons,"Jubilant crowds of relatives, friends and well wishers gathered to celebrate the release of 90 Palestinian prisoners.",news,neutral,0.9775620102882385
"‘My children, my children’: The Gaza family killed minutes before ceasefire",19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/my-children-my-children-the-gaza-family-killed-minutes-before-ceasefire,https://www.aljazeera.com/news/2025/1/19/my-children-my-children-the-gaza-family-killed-minutes-before-ceasefire,The al-Qidra family wanted to go back home. They didn’t know that the Israel-Hamas ceasefire had been delayed.,news,neutral,0.9972447156906128
At least 80 people killed in northeast Colombia as ELN peace talks fail,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/dozens-killed-in-northeast-colombia-as-eln-peace-talks-fail,https://www.aljazeera.com/news/2025/1/19/dozens-killed-in-northeast-colombia-as-eln-peace-talks-fail,Attacks by rebel ELN fighters in the Catatumbo region have forced thousands of people to flee the area.,news,negative,0.6794560551643372
Man Utd suffer 3-1 loss to Brighton as Onana error compounds misery,19 Jan 2025,https://www.aljazeera.com/sports/2025/1/19/man-utd-suffer-3-1-loss-to-brighton-as-onana-error-compounds-misery,https://www.aljazeera.com/sports/2025/1/19/man-utd-suffer-3-1-loss-to-brighton-as-onana-error-compounds-misery,Andre Onana’s howler seals United’s home loss as struggling Spurs endure another Premier League defeat at Everton.,sports,negative,0.9763681888580322
Hamas releases first three Israeli captives as Gaza ceasefire takes hold,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/hamas-releases-israeli-captives-gaza-ceasefire-palestinian-prisoners,https://www.aljazeera.com/news/2025/1/19/hamas-releases-israeli-captives-gaza-ceasefire-palestinian-prisoners,The first phase of the agreement is supposed to last 42 days and see the release of more captives and prisoners.,news,neutral,0.9998782873153687
Syrian minister rejects Kurdish-led SDF’s proposal for own military bloc,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/syria-defence-minister-rejects-kurdish-led-sdf-proposal-own-military-bloc,https://www.aljazeera.com/news/2025/1/19/syria-defence-minister-rejects-kurdish-led-sdf-proposal-own-military-bloc,Integrating Syria’s myriad armed groups into unified command structure is a priority of the new government.,news,neutral,0.9998733997344971
‘Joy beyond measure’: Celebrations in Gaza as long-awaited ceasefire begins,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/joy-beyond-measure-celebrations-in-gaza-as-long-awaited-ceasefire-begins,https://www.aljazeera.com/news/2025/1/19/joy-beyond-measure-celebrations-in-gaza-as-long-awaited-ceasefire-begins,Palestinians in Gaza hail ceasefire as thousands start preparations to return home following 15 months of war.,news,neutral,0.6864635348320007
What to know about Donald Trump’s presidential inauguration,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/what-to-know-about-donald-trumps-presidential-inauguration,https://www.aljazeera.com/news/2025/1/19/what-to-know-about-donald-trumps-presidential-inauguration,Who will be attending? How does an inauguration work? Will there be protests? We answer these questions and more.,news,neutral,0.9998741149902344
"Djokovic, Alcaraz to meet in quarterfinal showdown at Australian Open",19 Jan 2025,https://www.aljazeera.com/sports/2025/1/19/djokovic-to-play-alcaraz-in-quarterfinals-at-australian-open,https://www.aljazeera.com/sports/2025/1/19/djokovic-to-play-alcaraz-in-quarterfinals-at-australian-open,Tennis stars Novak Djokovic and Carlos Alcaraz will clash in a huge final-eight matchup at Melbourne Park.,sports,neutral,0.9997419714927673
"ASEAN tells Myanmar military rulers peace should be priority, not election",19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/asean-tells-myanmar-military-rulers-peace-should-be-priority-not-election,https://www.aljazeera.com/news/2025/1/19/asean-tells-myanmar-military-rulers-peace-should-be-priority-not-election,Myanmar has been in turmoil since 2021 when its military overthrew the government of Nobel laureate Aung San Suu Kyi.,news,neutral,0.9463343620300293
Which foreign leaders are attending Trump’s inauguration – and who isn’t?,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/which-foreign-leaders-are-attending-trumps-inauguration-and-who-isnt,https://www.aljazeera.com/news/2025/1/19/which-foreign-leaders-are-attending-trumps-inauguration-and-who-isnt,"In a break from tradition, US President-elect Donald Trump has invited world leaders and heads of far-right parties.",news,neutral,0.9997424483299255
"Russia-Ukraine war: List of key events – day 1,060",19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/russia-ukraine-war-list-of-key-events-day-1060,https://www.aljazeera.com/news/2025/1/19/russia-ukraine-war-list-of-key-events-day-1060,"Here are the key developments on the 1,060th day of Russia’s full-scale invasion of Ukraine.",news,neutral,0.9998316764831543
Timeline: The path to the Israel-Hamas ceasefire deal in Gaza,19 Jan 2025,https://www.aljazeera.com/features/2025/1/19/timeline-the-path-to-the-israel-hamas-ceasefire-deal-in-gaza,https://www.aljazeera.com/features/2025/1/19/timeline-the-path-to-the-israel-hamas-ceasefire-deal-in-gaza,"The ceasefire deal began on Sunday, January 19. Here’s a look at the long road to a deal that could end the Gaza war.",features,neutral,0.9993958473205566
‘We deserve life’: Gaza ceasefire comes into force after 15 months of war,19 Jan 2025,https://www.aljazeera.com/news/2025/1/19/israel-hamas-ceasefire-takes-effect-in-gaza,https://www.aljazeera.com/news/2025/1/19/israel-hamas-ceasefire-takes-effect-in-gaza,"The long-awaited ceasefire comes into effect, pausing a devastating 15-month war in the Palestinian enclave.",news,positive,0.9042181372642517
‘It’s really sad’: Gauff wins in Melbourne but loses social app TikTok,19 Jan 2025,https://www.aljazeera.com/sports/2025/1/19/coco-gauff-reaches-australian-open-quarterfinals-laments-tiktok-shutdown,https://www.aljazeera.com/sports/2025/1/19/coco-gauff-reaches-australian-open-quarterfinals-laments-tiktok-shutdown,The world number two wrote ‘RIP TikTok’ on a camera after the match in reference to the app’s discontinuation in the US.,sports,neutral,0.9997949004173279
